Voltage,        Force_1,        Force_2
2.0,            0.1,            0.4
2.5,            -0.1,           0.1
3.0,            -0.2,           -0.2
3.5,            -0.3,           -0.4
4.0,            -0.6,           -0.8
4.5,            -0.9,           -1.1
5.0,            -1.2,           -1.5
5.5,            -1.8,           -1.9
6.0,            -2.2,           -2.5
6.5,            -2.5,           -3.0
7.0,            -3.2,           -3.6
7.5,            -3.5,           -4.1
8.0,            -3.9,           -5.0
8.5,            -4.4,           -5.8
9.0,            -5.3,           -6.4
9.5,            -5.8,           -7.1
10.0,           -6.5,           -8.1
